,Team,Avg_Rank,Win_Pct
360,ATL,17.0,0.5
361,BKN,9.0,0.5487804878048781
362,BOS,2.0,0.6951219512195121
363,CHA,27.0,0.32926829268292684
364,CHI,19.0,0.4878048780487805
365,CLE,5.0,0.6219512195121951
366,DAL,21.0,0.4634146341463415
367,DEN,4.0,0.6463414634146342
368,DET,30.0,0.2073170731707317
369,GSW,11.0,0.5365853658536586
370,HOU,28.0,0.2682926829268293
371,IND,23.0,0.4268292682926829
372,LAC,11.0,0.5365853658536586
373,LAL,14.0,0.524390243902439
374,MEM,5.0,0.6219512195121951
375,MIA,11.0,0.5365853658536586
376,MIL,1.0,0.7073170731707317
377,MIN,15.0,0.5121951219512195
378,NOP,15.0,0.5121951219512195
379,NYK,8.0,0.573170731707317
380,OKC,19.0,0.4878048780487805
381,ORL,25.0,0.4146341463414634
382,PHI,3.0,0.6585365853658537
383,PHX,9.0,0.5487804878048781
384,POR,26.0,0.4024390243902439
385,SAC,7.0,0.5853658536585366
386,SAS,28.0,0.2682926829268293
387,TOR,17.0,0.5
388,UTA,22.0,0.45121951219512196
389,WAS,23.0,0.4268292682926829
